iter	Logloss
0	0.683802265
1	0.6746915489
2	0.6658164299
3	0.6571397058
4	0.648598439
5	0.6402540436
6	0.6321899974
7	0.6242885234
8	0.6165834172
9	0.6090217479
10	0.6016613615
11	0.5945119387
12	0.5875517165
13	0.5807512826
14	0.5740492229
15	0.5675909359
16	0.5613181036
17	0.5552020768
18	0.5492072636
19	0.5433667753
20	0.5376705786
21	0.5321001129
22	0.5265216247
23	0.5211786121
24	0.51594343
25	0.5108954725
26	0.5060167359
27	0.5012017471
28	0.4965375497
29	0.4919943217
30	0.4875173069
31	0.4831661239
32	0.4789321093
33	0.4747446617
34	0.4706718837
35	0.4667405944
36	0.462927989
37	0.4592070502
38	0.4555151127
39	0.4519253652
40	0.4484485469
41	0.4450581048
42	0.441718171
43	0.4384488479
44	0.4352929849
45	0.4322220416
46	0.4292169911
47	0.4262839781
48	0.4234496465
49	0.4206509612
