iter	Passed	Remaining
0	442	21684
1	602	14464
2	774	12140
3	933	10736
4	1264	11383
5	1586	11636
6	1760	10814
7	2081	10927
8	2408	10970
9	2724	10898
10	2884	10227
11	3208	10160
12	3529	10045
13	3867	9944
14	4146	9674
15	4468	9495
16	4528	8791
17	4603	8183
18	4923	8033
19	5245	7868
20	5406	7465
21	5571	7090
22	5901	6928
23	6223	6742
24	6541	6541
25	6871	6342
26	6925	5899
27	7250	5697
28	7569	5481
29	7620	5080
30	7937	4864
31	8268	4650
32	8592	4426
33	8916	4195
34	9247	3963
35	9571	3722
36	9850	3460
37	10213	3225
38	10576	2983
39	10910	2727
40	11247	2468
41	11602	2210
42	11950	1945
43	12277	1674
44	12625	1402
45	12970	1127
46	13291	848
47	13607	566
48	13926	284
49	14250	0
